№,Фраза,"Показы (broad, снимок 30 дн)",Форм слито,Тип,Пиллар,Интент,Класс,Пол,Предмет,Гео,Сезон,Asset,Флаг,Сиды
395,список профессий 2,3781,1,top,E,info,—,—,—,—,flat,main,,e01_professii_spisok
396,поступить в колледж с баллом 4,3775,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
397,специальности после 9 класса ижевск,3767,1,top,C,info,9,—,—,ижевск,июнь-июль,aggregator,,c06_specialnosti_posle_9
398,уфа колледжи после 9 класса специальности,3756,1,top,C,info,9,—,—,уфа,июнь-июль,aggregator,,c06_specialnosti_posle_9
399,востребованные профессии на ближайшие годы,3751,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
400,в колледж поступает ученица дорама,3749,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
401,профессии после 9 класса для мальчиков,3746,1,top,C,info,9,m,—,—,июнь-июль,main,,c03_professii_posle_9
402,поступить в колледж новосибирск,3730,2,top,C,info,—,—,—,новосибирск,июнь-июль,aggregator,,c05_postupit_v_kolledzh
403,поступил в колледж забирают в армию,3729,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
404,куда поступать после 9 класса нижний новгород,3720,1,top,C,info,9,—,—,нижний новгород,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
405,колледж тиу тюмень официальный,3720,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
406,куда поступить с химией и математикой,3712,1,top,C,info,—,—,химия,—,июнь-июль,main,,c14_s_himiej
407,поступить в институт после колледжа без егэ,3702,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
408,куда поступить после 9 класса в перми,3683,1,top,C,info,9,—,—,перм,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
409,специальности после 9 класса воронеж,3670,1,top,C,info,9,—,—,воронеж,июнь-июль,aggregator,,c06_specialnosti_posle_9
410,профориентация на профессию,3664,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
411,колледж сервиса тюмень,3610,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
412,поступить в колледж онлайн,3604,2,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
413,транспортный колледж тюмень,3602,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
414,куда поступать после 11 с физикой,3596,1,top,C,info,11,—,физика,—,июнь-июль,main,,c15_s_fizikoj
415,список профессий пенсия,3580,1,top,E,info,—,—,—,—,flat,main,,e01_professii_spisok
416,куда поступить после 11 класса с биологией,3576,2,top,C,info,11,—,биология,—,июнь-июль,main,,c02_kuda_postupat_posle_11;c12_s_biologiej
417,колледжи тюмени производственных,3575,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
418,куда поступить в колледж после 9 класса,3570,2,top,C,info,9,—,—,—,июнь-июль,both,,c01_kuda_postupat_posle_9;c05_postupit_v_kolledzh
419,колледж социальных технологий тюмень,3555,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
420,высокооплачиваемые профессии после 9 класса,3554,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
421,колледж производственных технологий тюмень,3550,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
422,социально производственный колледж тюмень,3532,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
423,медицинский колледж специальности после 9 класса,3531,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
424,куда поступить после 9 класса профессии,3528,2,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c03_professii_posle_9
425,куда поступить бесплатно после 9 класса,3512,1,top,C,commercial,9,—,—,—,июнь-июль,main,бесплатно=бюджет (резолюция v2),c01_kuda_postupat_posle_9
426,колледж производственных и социальных технологий тюмень,3509,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
427,колледж предпринимательства пермь,3499,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
428,в какой институт поступить после колледжа,3498,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
429,колледжи перми после 11,3494,1,top,C,info,11,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
430,профориентации работа,3491,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
431,красноярском колледже радиоэлектроники и информационных технологий,3488,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
432,строительный колледж специальности после 9 класса,3475,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
433,специальности после 9 класса тюмень,3469,1,top,C,info,9,—,—,тюмен,июнь-июль,aggregator,,c06_specialnosti_posle_9
434,колледж тиу сайт тюмень,3463,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
435,куда поступить после 9 класса в нижнем,3454,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
436,куда поступать с физикой и профильной,3439,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
437,куда можно поступить с русским и историей,3434,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
438,специальности саратов после 9 класса,3425,1,top,C,info,9,—,—,саратов,июнь-июль,aggregator,,c06_specialnosti_posle_9
439,тиу колледж тюмень официальный сайт,3418,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
440,специальности после 9 класса оренбург,3410,1,top,C,info,9,—,—,оренбург,июнь-июль,aggregator,,c06_specialnosti_posle_9
441,куда можно поступить мальчику после 9 класса,3407,1,top,C,info,9,m,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
442,центр профориентации,3405,2,top,0,commercial,—,—,—,—,сент-окт,main,,p01_proforientaciya;p07_centr_proforientacii
443,куда поступить учиться после 9 класса,3399,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
444,куда поступить с егэ по биологии,3398,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
445,куда поступать с профильной математикой и физикой,3395,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
446,список профессий 2026,3386,1,top,E,info,—,—,—,—,flat,main,,e01_professii_spisok
447,профессии после 9 класса баллы,3377,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
448,где можно поступить в колледж,3372,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
449,как посмотреть списки поступающих в колледж,3364,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
450,финансов экономический колледж красноярск,3360,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
451,финансово экономический колледж красноярск,3359,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
452,техникумы воронежа после 9 класса воронеж,3350,1,assoc,C,info,9,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
453,железнодорожные специальности после 9 класса,3348,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
454,тест на профессию после 9,3348,1,top,D,info,9,—,—,—,сент-окт,main,,d05_test_na_professiyu
455,специальности после 9 класса екатеринбург,3332,1,top,C,info,9,—,—,екатеринбург,июнь-июль,aggregator,,c06_specialnosti_posle_9
456,куда поступить с русским и географией,3311,1,top,C,info,—,—,география,—,июнь-июль,main,,c16_s_geografiej
457,какие профессии после 9 класса для девушек,3297,1,top,C,info,9,f,—,—,июнь-июль,main,,c03_professii_posle_9
458,на какую специальность поступать после 9 класса,3295,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
459,хорошие профессии после 9 класса для девушек,3292,1,top,C,info,9,f,—,—,июнь-июль,main,,c03_professii_posle_9
460,специальности после 9 класса волгоград,3292,1,top,C,info,9,—,—,волгоград,июнь-июль,aggregator,,c06_specialnosti_posle_9
461,шансы поступить в колледж,3287,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
462,2ip ru тест,3278,1,assoc,D,info,—,—,—,—,сент-окт,main,,p04_prof_online
463,специальности после 9 класса омск,3267,1,top,C,info,9,—,—,омск,июнь-июль,aggregator,,c06_specialnosti_posle_9
464,куда можно поступить с егэ по обществознанию,3258,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
465,в какой вуз можно поступить после колледжа,3246,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
466,специальности после 9 класса москва,3245,1,top,C,info,9,—,—,москв,июнь-июль,aggregator,,c06_specialnosti_posle_9
467,специальности обучения после 9 класса,3238,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
468,колледж красноярск специальности,3236,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
469,иркутский авиационный техникум,3234,1,assoc,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
470,колледж предпринимательства и сервиса пермь,3231,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
471,куда поступить после 9 класса ижевск,3218,1,top,C,info,9,—,—,ижевск,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
472,как поступить в егэ после колледжа,3216,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
473,куда можно поступить с историей и обществознанием,3213,2,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem;c11_s_istoriej
474,востребованные профессии на ближайшие 10 лет,3213,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
475,как поступить на целевое обучение,3211,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
476,колледжи воронежа специальности,3192,1,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
477,специальности после 9 класса колледж для девушек,3181,1,top,C,info,9,f,—,—,июнь-июль,main,,c06_specialnosti_posle_9
478,колледж самары после 9 класса специальности,3180,1,top,C,info,9,—,—,самар,июнь-июль,aggregator,,c06_specialnosti_posle_9
479,профессии после 9 класса 2026,3175,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
480,10 востребованных профессий в россии,3173,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
481,торговый колледж пермь,3149,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
482,какая профориентация,3143,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
483,получить профессию после 9 класса,3141,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
484,куда поступать с историей и обществом,3130,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
485,куда поступить с тройками после 9 класса,3129,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
486,специальности после 9 класса чебоксары,3127,1,top,C,info,9,—,—,чебоксар,июнь-июль,aggregator,,c06_specialnosti_posle_9
487,техникум это какое образование,3120,5,assoc,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh;c06_specialnosti_posle_9;c11_s_istoriej;c13_s_informatikoj;c16_s_geografiej
488,в какой колледж можно поступить после 11,3114,1,top,C,info,11,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
489,куда можно поступить с русским и химией,3114,1,top,C,info,—,—,химия,—,июнь-июль,main,,c14_s_himiej
490,специальности для мальчиков после 9 класса,3112,1,top,C,info,9,m,—,—,июнь-июль,main,,c06_specialnosti_posle_9
491,как поступить в колледж после 11 класса,3107,1,top,C,info,11,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
492,куда поступить после 9 класса в екатеринбурге,3100,1,top,C,info,9,—,—,екатеринбург,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
493,как поступить в университет после колледжа,3099,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
494,профориентация тест 9,3086,4,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p01_proforientaciya
495,на какие специальности можно поступить в колледж,3085,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
496,саратов колледжи после 9 класса специальности,3080,1,top,C,info,9,—,—,саратов,июнь-июль,aggregator,,c06_specialnosti_posle_9
497,колледж транспорта иркутск,3073,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
498,педагогический колледж иркутск,3068,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
499,поступить в государственный колледж,3067,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
500,профориентация тест на профессию,3067,3,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d05_test_na_professiyu;p01_proforientaciya
501,пермь поступления колледж,3065,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
502,куда поступить на бюджет девушке,3062,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
503,куда можно поступить с биологией и математикой,3050,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
504,поступи иркутск колледж,3049,2,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,c05_postupit_v_kolledzh;g05_kolledzhi_irkutsk
505,колледжи куда можно поступить после 9 класса,3046,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
506,бюджетные колледжи перми,3037,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
507,поступить в колледж екатеринбург,3026,1,top,C,info,—,—,—,екатеринбург,июнь-июль,aggregator,,c05_postupit_v_kolledzh
508,куда поступить с биологией химией и русским,3013,2,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej;c14_s_himiej
509,куда поступить с биологией математикой и русским,3012,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
510,куда поступить после 11 класса колледж,3004,2,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11;c05_postupit_v_kolledzh
511,куда поступать после 9 класса справкой,3001,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
512,колледж после 9 тюмень специальности,2998,1,top,C,info,9,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
513,авиационный колледж пермь,2996,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
514,куда поступать с географией и математикой,2989,1,top,C,info,—,—,география,—,июнь-июль,main,,c16_s_geografiej
515,колледжи красноярска баллы,2989,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
516,тест на профессию 9 класс,2984,3,top,D,info,9,—,—,—,сент-окт,main,,c03_professii_posle_9;d05_test_na_professiyu
517,поступить в колледж на базе 11,2976,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
518,как поступить в мед колледж,2972,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
519,фмза тестирование,2970,1,assoc,D,info,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
520,пкпс пермь колледж,2967,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
521,колледж крутовского красноярск,2966,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
522,мед колледж красноярск,2963,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
523,поступить в колледж очно,2960,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
524,аграрный после 9 класса специальности,2959,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
525,поступить в колледж после 10,2952,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
526,сколько баллов чтобы поступить в колледж,2946,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
527,специальности колледжей москвы после 9 класса,2942,1,top,C,info,9,—,—,москв,июнь-июль,aggregator,,c06_specialnosti_posle_9
528,поступить в колледж уфа,2934,1,top,C,info,—,—,—,уфа,июнь-июль,aggregator,,c05_postupit_v_kolledzh
529,профориентация в школе,2908,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
530,куда поступить после 11 с информатикой,2900,1,top,C,info,11,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
531,колледж славянова пермь,2900,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
532,можно ли поступить в 2 колледжа,2893,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
533,строительный колледж воронеж,2893,1,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
534,куда можно после 9 класса профессии,2887,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
535,куда поступить после 11 класса по егэ,2886,2,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
536,куда можно поступать с физикой и математикой,2885,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
537,поступить после 11 класса профессии,2884,1,top,C,info,11,—,—,—,июнь-июль,main,,c04_professii_posle_11
538,пермь колледж 11 класс,2875,2,top,C,info,11,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
539,мед колледж иркутск,2864,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
540,специальности после 9 класса ставрополь,2863,1,top,C,info,9,—,—,ставропол,июнь-июль,aggregator,,c06_specialnosti_posle_9
541,поступить в колледж омск,2856,1,top,C,info,—,—,—,омск,июнь-июль,aggregator,,c05_postupit_v_kolledzh
542,колледжи тюмени после 9 класса специальности тюмень,2856,2,top,C,info,9,—,—,тюмен,июнь-июль,aggregator,,c06_specialnosti_posle_9;g04_kolledzhi_tyumen
543,сайт профессий после 9 класса,2851,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
544,куда можно поступить с профильным обществознанием,2850,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
545,куда поступить с егэ химия биология,2848,2,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej;c14_s_himiej
546,колледж тюмень бюджет,2843,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
547,темы профессии будущего,2835,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
548,поступить в колледж краснодар,2823,1,top,C,info,—,—,—,краснодар,июнь-июль,aggregator,,c05_postupit_v_kolledzh
549,колледжи перми бюджет,2822,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
550,списки поступивших в медицинский колледж,2812,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
551,куда поступить после 11 с географией,2804,1,top,C,info,11,—,география,—,июнь-июль,main,,c16_s_geografiej
552,профессии будущего москва,2803,1,top,E,info,—,—,—,москв,flat,aggregator,,e04_professii_buduschego
553,список специальностей в колледжах после 9 класса,2795,1,top,C,info,9,—,—,—,июнь-июль,aggregator,,c06_specialnosti_posle_9
554,список вредных профессий,2787,1,top,E,info,—,—,—,—,flat,main,,e01_professii_spisok
555,куда можно поступить после 11 с историей,2780,1,top,C,info,11,—,история,—,июнь-июль,main,,c11_s_istoriej
556,куда поступить в уфе после 9 класса,2777,1,top,C,info,9,—,—,уфе,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
557,сестринское дело поступить в колледж,2775,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
558,куда лучше поступать после 9 класса,2769,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
559,профессии список для девушек,2761,2,top,E,info,—,f,—,—,flat,main,,e01_professii_spisok
560,где списки поступивших в колледж,2759,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
561,колледж иркутск специальности,2756,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
562,куда поступить после 11 в колледж,2750,1,top,C,info,11,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
563,куда поступить со справкой после 9 класса,2746,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
564,омск колледжи после 9 класса специальности,2744,1,top,C,info,9,—,—,омск,июнь-июль,aggregator,,c06_specialnosti_posle_9
565,на кого можно пойти учиться после 9,2742,1,top,C,info,9,—,—,—,июнь-июль,main,,b04_na_kogo_pojti_uchitsya
566,востребованные профессии в россии на ближайшие,2737,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
567,специальности после 9 класса краснодар,2736,1,top,C,info,9,—,—,краснодар,июнь-июль,aggregator,,c06_specialnosti_posle_9
568,поступить в колледж на базе 11 классов,2732,1,top,C,info,11,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
569,востребованные профессии ближайшие 10 лет в россии,2727,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
570,куда поступить с литературой и обществознанием,2718,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
571,поступить в колледж г,2710,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
572,профориентация тест на выбор профессии,2705,4,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d05_test_na_professiyu;d06_test_na_vybor_professii;p01_proforientaciya
573,возможно ли поступить в колледж,2699,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
574,колледжи строительства иркутск,2699,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
575,востребованные и высокооплачиваемые профессии,2687,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
576,на какую профессию пойти после 9 класса,2684,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
577,колледж красноярск поступление,2676,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
578,ранняя профориентация,2667,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
579,поступить в колледж на психолога,2662,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
580,куда поступать с биологией и обществознанием,2660,2,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem;c12_s_biologiej
581,куда поступить с физикой и русским,2660,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
582,славяновский колледж пермь,2655,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
583,тест на профессию онлайн,2649,1,top,D,commercial,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
584,куда поступать с информатикой и профильной,2645,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
585,мед колледж воронеж,2634,1,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
586,колледж волгоград после 9 класса специальности,2627,1,top,C,info,9,—,—,волгоград,июнь-июль,aggregator,,c06_specialnosti_posle_9
587,востребованные профессии в россии на ближайшие годы,2624,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
588,куда поступить в тюмени после 9 класса,2622,1,top,C,info,9,—,—,тюмен,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
589,модель профориентации,2616,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
590,красноярский медицинский техникум,2610,1,assoc,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
591,оренбург колледжи после 9 класса специальности,2608,1,top,C,info,9,—,—,оренбург,июнь-июль,aggregator,,c06_specialnosti_posle_9
592,куда поступать с информатикой и профильной математикой,2604,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
593,аэрокосмический колледж красноярск официальный,2583,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
594,куда можно поступать после 9 класса девочке,2576,1,top,C,info,9,f,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
595,9 классов какое образование считается,2572,1,assoc,C,info,9,—,—,—,июнь-июль,main,,c16_s_geografiej
596,с химией куда можно поступить после 11,2564,1,top,C,info,11,—,химия,—,июнь-июль,main,,c14_s_himiej
597,специальности после 9 класса ростов,2555,1,top,C,info,9,—,—,ростов,июнь-июль,aggregator,,c06_specialnosti_posle_9
598,тест голланда,2553,2,top,D,info,—,—,—,—,сент-окт,main,,d07_test_gollanda
599,год профориентации,2537,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
600,поступить в колледж на стоматолога,2532,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
601,документы чтобы поступить в колледж,2532,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
602,как поступить в колледж через госуслуги,2531,1,top,C,commercial,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
603,дорама в имперский колледж поступает,2524,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
604,какие профессии можно пойти после 9 класса,2513,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
605,колледжи воронежа после 11,2501,1,top,C,info,11,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
606,куда поступить в барнауле после 9 класса,2493,1,top,C,info,9,—,—,барнаул,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
607,куда поступить после 9 класса в иркутске,2492,1,top,C,info,9,—,—,иркутск,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
608,11 востребованных профессий,2490,2,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
609,тест на какую профессию,2489,1,top,D,info,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
610,дорама в имперский колледж поступает ученица,2483,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
611,как поступить в колледж в 2026,2475,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
612,куда можно поступить с математикой и информатикой,2475,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
613,политехнический колледж воронеж,2474,1,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
614,куда поступить после 11 класса с химией,2470,2,top,C,info,11,—,химия,—,июнь-июль,main,,c02_kuda_postupat_posle_11;c14_s_himiej
615,куда поступить в омске после 9 класса,2463,1,top,C,info,9,—,—,омск,июнь-июль,aggregator,,c01_kuda_postupat_posle_9
616,какое образование получают в колледже,2459,5,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c02_kuda_postupat_posle_11;c10_s_obschestvoznaniem;c12_s_biologiej;c15_s_fizikoj
617,поступить в бюджетный колледж,2455,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
618,востребованные профессии в россии на ближайшие 10,2450,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
